DOWLKNUM,max_depth,size_acres,avg_ph,avg_secchi,avg_conductance,avg_phosphorus,avg_chlorophylla,a440.cdom,allstreams_density_mperha,roaddensity_density_mperha,avg.ann.gdd
3024101,4.8768,606.516333,8.74125,1.9365,275.5,0.019,4,0.2527361,2.8525,14.822,1930.988507137648
3024102,4.8768,1442.309619,8.85625,1.96991541,270.7,0.0365,15.25285714,0.7450625,3.8567,8.6022,1930.988507137648
3024200,5,1789.754953,8.766,3.08037037,205.2,0.01975,7.5,0.34921595,5.6165,8.8543,1862.1875853113568
3036600,2,280.112591,9.463846154,1.281180556,195.1444444,0.049777778,17.69,0.6463158,3.742,38.9217,2061.1262734531183
3040000,4.572,333.9968305,9.349333333,1.492901235,335.1166667,0.054333333,11.472,0.63697255,1.9625,26.6348,2155.4654332975933
3048900,3,202.1444966,7.56,1.930789474,380,0.033,11,0.56853875,0,11.9674,2058.2784111870137
4003200,12.192,1230.437715,7.995,2.95439931,313.2,0.029285714,14.6075,2.01213015,3.4957,10.0108,2099.3098195493926
4003400,18.288,680.3549987,7.434285714,2.81881,380.8,0.014,1.815,3.9915441,3.4457,18.6014,2038.8952237850426
4019800,4,2177.250065,8.714,1.445882353,248.4,0.020333333,10.875,0.92393615,2.733,21.9665,2072.532730172587
5001300,4.8768,1310.661097,8.967857143,0.786390981,298.60222220000003,0.274317073,125.6741935,1.8282579,7.9252,38.7275,2451.5693879332252
6000100,2,4461.876601,8.415,0.251869091,894.2857143,0.176666667,99.9,2.221322625,9.5616,8.3964,2520.9568072739353
6000200,3.9624,1970.759868,8.786129032,0.93522869,842.8896552,0.245454545,32.16,0.412164325,2.0007,35.815,2468.7031048147815
7004400,17.3736,1447.150508,8.020420561,1.493440485,352.5143541,0.338,88.33076923,2.52860805,1.9649,73.1354,2643.3925732570137
7004700,8.2296,88.2444019,8.084,0.868495238,302.4666667,0.11675,90.21428571,2.5421874,2.8956,72.1988,2638.2139027472676
7005300,7.3152,290.4194253,8.518333333,0.934728671,341.4045455,0.125,50.54363636,1.19379,0.9266,60.1345,2694.2932642583996
7005400,16.764,370.7580457,7.96421875,1.2991152,357.7347826,0.0475,26.26,0.34361365,2.8898,65.8484,2573.492806798504
7007900,2.4384,1358.595921,8.932162162,1.350859353,387.972093,0.149518519,49.49870968,0.5526432,0.2834,20.2353,2657.832844972098
7009800,3.048,379.3829286,9.354444444,0.627437583,365.7,0.75925,106.3526471,1.10635795,8.7728,89.2303,2804.986286779096
8002600,7,1794.96648,8.394210526,0.786817528,526.5789474,0.136833333,33.97333333,2.3392359,3.8728,25.8975,2639.484425371197
8004500,6.096,240.8197753,8.595,1.580006386,452.125,0.091444444,53.35,3.3117961,7.0694,64.6742,2576.971882678464
9004100,5.1816,279.2399355,7.304615385,1.354806914,94.975,0.0365,12,9.97475955,13.5746,83.4691,2080.6363855232385
10000200,14.6304,296.2114311,7.830779221,2.220684103,554.7828326,0.16676087,24.14478776,1.84228715,6.1277,92.216,2639.9711451529733
10000600,8.5344,245.0978504,7.895973154,1.534992195,486.4026846,0.178396825,35.64884,0.83670865,4.8566,126.0616,2638.146859612923
10000700,6.4008,87.53353386,7.602941176,1.438565401,519.7271028,0.240274194,27.35489333,2.8265228,0.5267,58.2076,2688.744104498494
10001100,15.8,19.54589627,7.324,2.675242718,501.6,0.021578947,5.139186364,3.28430795,0,80.7679,2658.9327524070254
10001200,12.4968,115.7390345,7.757166667,2.898924675,446.9431894,0.201142857,9.170714286,2.08447675,4.3232,25.6257,2634.1772744090667
10001300,4.8768,88.3373631,8.121505376,1.457567917,643.5967033,0.186375,45.40274359,1.11130335,9.2388,110.723,2668.4420040997306
10001800,14.9352,106.3680505,7.606666667,1.780411765,504.7508532,0.284438596,19.9404,2.65170455,4.2585,67.7221,2564.4719460927427
10001900,19.812,166.4574833,8.123797468,2.168862253,380.7371795,0.058854839,13.75478571,1.9442584,1.6007,69.6609,2539.9811873611525
10004200,5.1816,257.9194113,8.253715596,1.067381643,339.7155963,0.11686747,91.5826087,1.3686746,10.3351,18.1459,2554.7485204179047
10004300,2,146.4453423,7.841076923,1.208,395.4482759,0.09208,75.76222222,2.882043225,6.0997,2.9742,2511.594886050332
10004401,25.6032,144.1238524,7.617698962,2.742178218,347.6835131,0.079427273,13.42805556,2.42654545,2.5552,31.4563,2522.035181383195
10004402,10.0584,146.4322824,7.785925926,1.603873874,379.8510638,0.0945,39.54285714,1.80211615,5.4925,47.9126,2610.2276374767766
10004500,10.9728,165.8790433,7.888275862,2.200882353,437.2391045,0.050107273,16.48115385,0.3570394,6.7368,64.3282,2552.7555491618095
10004600,16.4,16.00631177,7.554516129,2.126315789,528.4242424,0.104,25.63777778,3.3964706,4.9422,113.8553,2554.988015943267
10004700,10,19.6904205,7.602702703,1.989560976,282.8809524,0.0344,17,1.1161607,9.1113,68.87,2601.6709559638084
10004800,12.192,169.6789399,7.698355091,1.275933409,379.4490862,0.2924375,56.8037037,3.64364715,6.0802,45.0392,2535.332276107663
10005000,4.5,43.93748095,8.105789474,2.295625,234.0555556,0.032166667,4.8,1.1786881,5.969,9.5855,2575.029680022003
10005100,11.2,40.44622861,7.674090909,1.374666667,405.5853659,0.065333333,47.66363636,2.60992975,11.736,17.1741,2603.443889237161
10005200,10.3632,92.42099343,7.7275,1.690663725,453.1283333,0.212857143,39.67753182,2.76214385,7.5817,35.0387,2533.4601026441987
10005300,12.192,266.9114766,8.104895833,2.575627976,346.5559322,0.054163636,9.777419355,0.1683753,2.5649,29.2657,2515.255299199998
10005600,8.7,100.4979211,7.537765957,2.66085913,368.5821596,0.043926087,13.56352941,2.4036449,0,22.3999,2553.255931181786
10005800,1.0058,130.6853592,9.57,0.665,268,0.260818182,380,0.3796044,4.7527,19.2809,2567.9279441694707
10008400,7.0104,96.70111027,8.509857143,1.625412903,390.4981818,0.051857143,23.06673793,1.408579,8.0069,77.0026,2616.3934285487576
10008800,5.1816,222.192071,8.608552632,1.483132222,438.6112903,0.176150943,55.73013889,3.79256965,5.0221,38.0517,2676.956832376672
10008900,3.048,302.1603194,8.749302326,0.55542623,387.1,0.143522727,95.065425,1.9550274,2.8111,24.1577,2687.3823082402337
10009500,3.11,432.8268061,8.205862069,0.656095041,288.3384615,0.3366,100.6106857,2.89691975,0,24.8976,2579.5790125026638
10012100,4.2672,183.2224942,8.9215,1.13098961,437.9211538,0.27523913,71.81404762,0.65765915,4.2857,25.3988,2715.9325079831315
10021700,6.7056,17.51242984,8.547391304,0.502546584,475.7869565,0.171863636,73.14087097,3.45,2.7754,83.5571,2740.251724907773
10021800,5.4864,20.18245251,8.3603125,0.952101064,554.338,0.138151515,54.65286486,3.766,16.1876,134.1676,2701.1686828966863
11005300,21.336,224.907113,7.499354839,2.843508772,227.8928571,0.022076923,4.688571429,5.84624685,4.0423,67.3282,2212.3679263014296
11005900,31.6992,1590.200343,7.510245902,3.907021424,152.5104603,0.013442623,4.580746269,2.601324716,1.5173,42.9057,2169.5924616723423
11006200,24.384,1346.878974,8.28,4.968007242,258.96,0.012074074,3.832068966,1.18305545,1.9396,42.584,2090.246479813759
11007300,1,2030.035448,7.67,0.812307692,234.6666667,0.022333333,1.47,3.023242,5.4097,9.2622,2108.5399633930083
11010400,1.486765259,1255.473516,8.044,1.079230769,146.5,0.0205,5.09,4.8480802,3.6571,18.4184,2028.5930569016264
11014700,21.336,56471.62721,8.314090909,3.323991379,285.15,0.022453571,6.811818182,1.4508052,1.3534,15.8709,2083.0285799770386
11016700,21.336,1451.676578,7.818630137,3.191018981,264.1041667,0.019454545,7.912,1.40800175,3.3022,43.1139,2072.6297132480795
11017400,25.2984,428.1789173,8.117391304,4.401081928,244.676087,0.015307692,4,0.7793561,1.2519,58.7442,2088.2484777444206
11019000,2.689966612,697.6716765,8.738333333,2.322061538,80.66666667,0.015333333,2.99,1.4659792,1.3617,16.4794,1954.3267627766636
11020000,13.4112,524.577899,7.881960784,4.921193129,156.3981132,0.013545455,4.251666667,0.50905165,1.0362,32.8764,2091.3386912374704
11021800,16.1544,421.8331236,7.728333333,2.835809855,246.8333333,0.062833333,12.1,3.24955925,4.3943,42.549,2239.324904393377
11023400,18.288,388.0466492,8.012553191,6.1159356,146.3913043,0.009,1.58375,0.1229732,0.2501,58.8905,2127.768654976749
11023700,31.6992,129.0241773,7.790697674,3.961708696,269.8928571,0.018333333,1.833333333,0.26342805,0.479,37.7577,2189.095171903903
11025000,18.288,963.3163448,7.81345679,4.09606313,185.66,0.0113125,3.808,0.4705755,3.5256,59.0637,2138.9123431727644
11027900,16.2,149.1735079,7.882916667,6.421641015,76.82653061,0.0072,1.571428571,0.50255565,0.8723,51.701,2009.3226074061815
11030700,3.9624,514.8903014,8.331333333,2.367595902,231.5333333,0.0366,9.78875,2.676222,4.7194,42.6692,2060.4623346435405
11038300,21.336,1099.175659,7.933972603,4.902465546,207.8953846,0.013615385,3.908823529,0.25469075,4.8692,42.711,2017.684783375998
11041100,23.4696,1617.316358,7.908527132,2.966050256,280.9948148,0.022166667,10.212,0.9288943,3.4325,55.6735,2147.205946237102
11041200,13.716,1267.197917,8.215428571,4.136665089,208.0078947,0.022210526,3.441176471,0.45006415,2.0926,63.1687,1997.396450793498
11048800,16.764,554.5226649,8.705,3.755272727,262.0666667,0.011,2.5,0.0809841,7.6713,17.3265,1977.0103507478032
13002700,32.004,909.6981972,7.374078431,1.617435219,208.9229323,0.100771429,27.25769231,3.372053575,1.0274,65.8926,2400.9116343082333
13002800,10.0584,454.6792511,8.022758621,2.58152,198.6071429,0.037714286,27.2755,0.12519675,0.2895,94.29,2442.042543436348
13003201,12.192,749.2601929,7.907169811,1.28209097,203.1672727,0.058310345,46.09032258,0.718612,1.5745,74.5191,2435.6690988340524
13003300,6.7056,168.1990766,7.216923077,1.111678498,127.6666667,0.129076923,2230.836364,4.5060825,7.6971,22.1667,2544.5381605223265
13005300,14.0208,217.8226056,7.929583333,1.676807066,453.1611111,0.049132075,15.11542609,3.2711243,6.5642,47.079,2443.299684404375
13006800,14.6304,318.8215402,8.04,3.227443721,258.5055556,0.058416667,7.72125,2.9310976,1.6096,54.7363,2311.092529424704
13007300,15.8496,224.0379654,7.134285714,1.939596066,321.4285714,0.112384615,18.96666667,3.62454795,3.887,40.3455,2379.7174277097133
14000400,3.6576,248.4787936,9.432222222,3.137236364,407.25,0.026,1.71,0.80474025,2.3436,5.3236,2105.9136952601852
15001000,29.5656,303.433636,7.7627,3.689214213,304.3548387,0.076380952,3.8025,0.19801315,11.7379,9.2565,1951.6456190917131
15005900,3.9,1526.721168,8.265,2.004583333,243,0.0214,9.25,2.49837755,1.3251,17.0427,1933.4203243487764
15007900,4.8,230.0244391,8.320434783,2.209338182,270.3684211,0.031333333,14.18333333,0.9479956,8.5773,34.1384,2000.5614380224747
15014900,4.2672,1236.176959,8.569090909,2.372493333,347.2857143,0.02325,11.86666667,1.968040625,5.2222,29.3113,1959.5256011589404
16008900,3.4,378.1036388,6.6225,1.32809,38.43333333,0.02,0.74,2.72834225,7.5164,2.9609,1591.8206102311499
16036900,3.048,346.1401889,7.564285714,1.787671429,48.88571429,0.019,7.5,4.86631165,3.3441,12.2182,1656.0425809604205
16037300,1.8,183.70404,7.541428571,1.610909091,54.5,0.0185,2.485,4.58181555,2.8533,30.7575,1633.399780827469
16038400,4.572,355.087868,7.246666667,2.315063333,40.63529412,0.010818182,2.888333333,5.44671635,1.4609,16.7741,1699.7103783563357
16063900,4.572,592.9530482,7.874444444,1.611104,49.9125,0.039,3.36,6.5289991,6.0174,10.785,1749.5789113175
16064500,3.048,369.4883404,6.873333333,1.115148571,34.55555556,0.023666667,11.32,7.0320513,3.4318,8.3961,1822.8595281408427
17000300,2.1336,229.5186814,8.51875,0.866708372,569.5714286,0.088166667,44.6,1.1271233,11.4083,49.6174,2581.0859897007585
17006000,2.1336,873.0577788,8.68,0.21349869,695.1428571,0.39,183,4.167655967,7.0938,16.0889,2563.627245227051
18001800,12.4968,533.592909,7.958139535,2.613760889,252.6486486,0.069666667,10.46666667,3.05263955,2.2433,28.8664,2208.3477379661053
18002000,25.2984,1011.389538,7.557142857,3.161960811,237.2666667,0.016142857,5.875,2.7103932,5.2853,35.1731,2174.8788537156875
18003400,21.336,2329.89688,7.646285714,4.390224726,188.7489209,0.031666667,4.845833333,1.00572125,2.6156,58.6131,2091.708335968385
18003800,16.1544,905.4897845,7.966923077,3.76381106,221.0692308,0.0435,4.831428571,1.5405213,0.8373,32.691,2165.5133265109293
18004400,13.4,164.7192286,8.020833333,4.322330435,187.5,0.014307692,3.863636364,1.4900582,7.5204,32.323,2172.6278803843998
18005000,10.9728,286.8357177,8.0075,3.815045685,197.3333333,0.013846154,5.345454545,2.09639275,5.4173,42.1416,2172.6278803843998
18008800,6.7056,1663.430075,8.567058824,1.656611888,137.125,0.041571429,20.26341463,2.4620469,3.3801,34.7442,2218.042926480307
18009000,18.5928,1116.342946,7.882112676,4.58411866,305.6397059,0.012333333,5.210526316,0.89037375,2.4117,119.9252,2198.5257041303403
18009600,14.0208,804.3168301,7.94,2.19342385,232.3333333,0.037315789,10.81277778,2.4180993,8.4615,44.2378,2253.056444177319
18015500,7.62,378.9354207,8.019615385,1.747847276,231.9565217,0.044866667,28.63090909,0.99670425,5.0558,64.557,2361.0418843598086
18017000,6.096,259.2317576,7.171666667,1.52,111.5714286,0.039,22.66666667,4.1351604,9.3573,11.7854,2264.7226153205784
18018000,3.034760884,301.6282485,9.125,0.747272727,62.95,0.061,69.5,7.77510745,3.7569,19.8447,2279.4044430024114
18018400,19.2024,239.9906157,7.078571429,5.03845314,60.32258065,0.012818182,3.282666667,1.40834805,2.1543,27.4447,2102.674486635794
18018500,10.0584,412.6443411,7.2525,1.724035714,110.297619,0.030333333,7.14375,11.65940775,5.8797,25.7684,2249.701338237649
18020300,3.6576,720.7280742,7.836190476,1.592363842,126.35625,0.064388889,18.804375,3.4127412,4.0348,49.2235,2259.403071919949
18021200,11.5824,599.1974501,7.9656,5.241206504,130.1,0.018,3.456923077,0.2097222,1.4081,42.2696,2132.1750613672752
18024200,10.668,881.5773583,8.306896552,3.342362483,199.52,0.0318,14.30625,0.6592012,2.2814,31.4841,2231.0285300132196
18024300,7.9248,732.1999191,8.183333333,2.883679918,227.805,0.0372,25.20714286,1.0413289,2.6625,24.1841,2246.204211384535
18026600,9.144,329.8621289,7.674851485,2.830850413,246.5970149,0.040923077,6.581428571,2.50833195,3.2143,30.2771,2140.890868455051
18026900,21.336,232.3991348,7.710091743,4.353151648,227.4667213,0.012714286,3.315555556,0.9163865,0,54.4162,2140.890868455051
18027100,7.62,258.2746263,7.811973684,2.651096154,251.3023256,0.029238095,9.092941176,2.4194628,1.3553,54.5322,2140.890868455051
18028700,10.668,354.3814073,7.615185185,2.610228571,180.56,0.021,8.14,1.97340805,6.9018,8.4939,2272.269475658057
18031000,41.4528,7714.192816,7.857103757,3.298685712,226.7295858,0.027,5.051333333,1.3047676,0,30.7926,2140.890868455051
18031200,24.384,1815.002496,7.793491379,4.013248,220.744,0.014875,3.677,1.8193612,0.8053,63.5738,2140.890868455051
18031500,36.576,1366.292583,8.0091133,4.341953271,221.5320755,0.009705882,3.84,0.0106061,1.367,47.6807,2140.890868455051
18035400,16.764,195.7818182,7.8098125,3.917602469,221.7569767,0.0185625,3.159473684,0.73649875,0,32.2135,2140.890868455051
18035500,21.336,336.8669256,7.827983871,3.668894382,218.1702128,0.0144375,3.038823529,0.9151513,0,37.9752,2140.890868455051
18035600,12.192,211.0631319,7.916831776,4.320764835,201.3333333,0.015,4.386470588,1.44389135,0,40.1336,2140.890868455051
18036100,23.1648,189.7788028,7.407177419,4.896706667,195.3181818,0.0120625,2.704375,0.11220915,1.4905,42.9196,2182.8879677784453
18037300,15.24,1650.114575,8.218333333,3.27244882,260.5833333,0.025105263,8.194117647,0.98788275,2.142,83.3935,2234.6315366304834
18037600,12.192,434.5594556,7.78,2.936968421,261.75,0.025625,14.185,0.99461135,2.1387,26.5804,2181.8287795716874
18037700,13.716,396.6542483,7.633333333,3.858911184,260.75,0.020034483,4.867894737,0.80841715,0.3334,36.4583,2193.4210062749135
18037800,30.48,700.2136605,7.830348259,4.492374026,211.2105263,0.013466667,3.1625,1.31207365,1.4781,38.4153,2140.890868455051
18037900,7.62,415.0604842,8.0125,3.421818993,136.3333333,0.038833333,6.4,0.46201615,2.481,97.1958,2205.822720350188
18038600,4.572,521.3778266,8.925,3.187945882,147.75,0.028888889,3.670833333,1.53533585,6.6641,61.9151,1995.3257244460353
18040300,11.5824,559.9771881,7.772727273,3.905236379,210.5,0.017758621,5.545833333,0.4675216,2.7018,63.0523,2193.4210062749135
19002500,3.042,54.58101147,8.6575,1.146863469,401.0767619,0.089078125,63.71176471,2.45426085,0,77.6221,2673.6804833937363
19002700,10.9728,293.2396394,7.9276,1.98214527,481.948,0.106781579,21.7468551,0.9698449,0.4992,92.6389,2519.1269440694755
19003100,9.7536,237.9282725,7.9967647059999996,2.571705112,596.1875,0.077942308,13.04665676,1.3078313,0.2016,44.2011,2520.5082638002878
19005000,9.4488,46.28062948,7.621666667,2.117407407,241.7423077,0.080219512,30.58614074,0.5829114,0,47.3277,2668.73717320745
19005700,10.0584,30.55146168,8.065839416,1.955112195,562.6307018,0.28340082,17.67142857,2.81166665,9.0465,104.1512,2667.2697878876015
19005900,3.2004,39.85269316,8.381515152,1.66660098,359.2142857,0.055381818,16.08933333,1.71074505,8.5143,76.7696,2682.0948929205556
19006700,1.9812,41.49380348,8.275,1.391927737,382.7,0.06424,45.11666667,2.74079255,19.1778,90.806,2713.023983136602
19007200,2.5,32.97595859,8.64,1.874242424,149,0.027625,3.82,3.99036615,0,9.7142,2643.3166489977675
19007500,4.572,13.15460403,8.446666667,2.439264706,248.3333333,0.0268,38.908,1.9121528,0.4468,19.0464,2661.7274286884417
19007600,2.5908,18.08117468,8.496,1.840947778,250.6666667,0.0433,16.175,3.2345588,7.3057,49.6204,2676.5801778309883
21005200,18.8976,639.8113619,8.143076923,3.302962543,364.8333333,0.028553571,6.187017544,0.4992017,2.0185,71.9184,2159.3816307034563
21005400,17.9832,416.8069851,8.36,3.321019827,399.6666667,0.027795455,7.69,0.8424229,2.3975,62.5461,2266.2747022662593
21005600,25.6032,1800.960866,8.454117647,3.545205446,545.25,0.032266667,7.269074074,0.282112525,3.2397,67.0541,2157.5681175790164
21013600,10.3632,98.96257118,7.907272727,2.418737778,244.7272727,0.222,21,0.48733825,0,16.0701,2244.3260007562153
21032300,1.8288,300.1173363,9.412,0.447142857,533.3333333,0.179,83.6,0.9521874,7.2012,19.3507,2351.4142812594027
22002300,1,719.1003097,8.95,0.28,402,0.2205,83.6,1.237966,0.1675,23.8663,2677.4354717348097
22007400,5.7912,199.1819026,8.500769231,1.068496063,338.4933333,0.086555556,74.5,0.46566415,0,38.495,2697.0002123764975
24001400,1.524,2669.175717,8.953448276,0.432153889,383.8815789,0.29880555600000003,141.7293333,1.514948634,2.7719,57.1186,2557.7641451184586
24002500,1.5,587.5780277,9.383,0.362507541,263.95,0.276333333,148.4833333,0.7434742,4.2667,28.0442,2643.2290242014765
24002800,1,1033.149669,8.285,0.297864078,354.5333333,0.257733333,115.7066667,0.83393405,12.7903,28.5233,2674.3883937005544
24004400,1,2034.061138,9.213333333,0.166933333,256.6,0.23675,213.12,2.389139225,3.6901,32.0265,2713.8359194440163
27001400,6.096,11.37983966,7.434447301,0.971640764,534.4384196,0.23913245,48.32287273,3.19166665,0,127.3471,2729.705341289837
27001600,26.2128,341.2231108,7.660746826,3.357442975,592.8764473,0.10867655,5.002459016,0.9329231,6.8919,130.0251,2616.318514495156
27001800,9.4488,52.93027622,7.602857143,1.475342122,539.822409,0.106807018,20.08083929,4.6735417,16.4781,94.7058,2683.954356712041
27001900,9.7536,201.2367719,7.886897321,1.316197023,465.2542725,0.070813609,30.73574074,3.0498623,7.9906,126.6005,2716.8690034786837
27002200,1,51.70972589,7.455254237,0.646290323,480.3727273,0.160586957,42.49571429,3.28055885,7.4312,181.2885,2667.8367563264505
27002900,1,18.04456853,7.85,0.431818182,527.6,0.134,59.8,4.046875,21.1595,118.2152,2865.7944770925815
27003100,27.432,423.8595781,7.653094435,3.894768047,668.5784229,0.083285714,6.09962963,0.9196722,7.0895,110.5677,2586.121844580541
27003501,7.62,67.63810756,7.565403226,1.331635556,1088.854762,0.162148077,18.70059107,1.84479165,9.665,97.071,2702.835600604926
27003502,7.6,20.90884661,7.766315789,3.117857143,782.6888889,0.0405,3.688272727,3.14488635,1.6914,42.4903,2606.640314930045
27003700,7.3152,39.97496309,7.690246407,2.136626812,839.5221258,0.306916168,23.334625,2.07404785,2.9169,89.2272,2622.972191337114
27003900,15.24,163.7926791,7.706428571,2.385199375,633.2895619,0.083384058,11.10343103,1.35434235,1.6181,133.9321,2645.1635832678344
27004700,8.2296,170.9707176,8.306530612,3.035027778,304.7021277,0.0413,6.173889286,1.0773239,2.5243,60.0751,2598.1581288895695
27004800,3.3528,83.91462014,8.3990625,1.323135,297.7866197,0.110583333,73.381,1.93613155,3.3694,39.0112,2632.8715407753357
27006100,3.3528,37.21781175,7.424259259,1.75652,541.1666667,0.32398,8.658823529,3.44166665,10.488,133.3754,2659.3715774391035
27006900,2.5,44.88920155,8.971463415,2.113559322,320.035,0.044047619,11.16914444,0.328426575,0.286,85.9085,2650.5322605453794
27007000,5.1816,113.9254011,8.061142857,1.708861489,541.0571429,0.119774194,36.07101,2.482206575,5.5601,120.0002,2674.1276943207627
27007100,11.2776,30.73503423,7.231578947,5.115182524,339.8153846,0.250392857,14.09285714,3.03402565,0,104.7277,2670.329538047015
27007600,4.572,96.91368327,7.797282609,1.895910053,538.4305263,0.340470588,29.01854,1.62562335,8.5169,88.0038,2699.5172698624833
27007800,4.8768,167.1396003,8.426632653,0.83356175,477.7969072,0.119509434,65.82857143,1.4007796,10.1977,64.0861,2768.612743826939
27009800,9.144,182.4669818,7.91859375,1.528961814,570.7946154,0.176437879,60.19110345,0.60293615,6.8188,88.0577,2677.9050396211446
27010200,7.9248,44.66139064,8.231104294,2.160246154,370.9316456,0.179827273,15.22210526,1.47335795,7.0589,100.1694,2659.6279939240626
27010400,14.3256,924.3679962,7.777520107,1.794937626,642.7602757,0.186450877,36.7219901,0.84579565,8.8843,90.5821,2639.653434166681
27011101,10.668,296.2001406,7.825867347,1.996732921,603.0938967,0.090880769,31.598,1.46350165,4.8519,84.6445,2597.669900951019
27011102,6.4008,56.66567453,7.594270833,1.193841667,789.3339623,0.199508824,52.28578947,3.9292139,3.8906,31.8155,2633.778358228461
27011700,17.0688,152.0909324,7.729666667,2.827128125,444.6988016,0.156822642,15.33104167,2.4581082,2.2684,97.2299,2508.726295542825
27011800,18.5928,237.726142,7.59507177,1.629018901,490.4479199,0.165269,27.49181818,1.07423755,0.1739,95.5601,2619.1992871466714
27011900,2.1336,84.05749205,7.774705882,0.522298578,402.7181818,0.162571429,105.1416667,1.6434998,2.9104,108.2412,2772.6844048267135
27013301,8.8392,187.8495713,8.216900585,3.488418079,420.7336957,0.02554717,4.734736842,0.5039666,6.1456,62.8254,2561.359172559421
27013303,9.144,114.6126854,8.136803279,3.556056338,429.9926471,0.02972549,5.735882353,1.1335341,0,60.6226,2561.359172559421
27013304,11.5824,166.1808907,8.0182264150000009,3.756381579,409.7421603,0.066225352,5.185555556,0.836807,1.8723,92.5015,2561.359172559421
27013600,3.5,25.40744184,7.972325581,0.820547945,412.459375,0.128787879,65.975,3.23751045,3.8266,48.3577,2840.842817174741
27014100,6.096,53.47596069,7.811941748,1.151054217,482.8849558,0.195,81.85925926,1.4456238,0.3795,35.1995,2724.0687475876884
27015700,7.9248,39.7336534,7.713333333,0.732941176,559,0.117888889,56.11666667,4.33015875,5.9393,4.4174,2740.166574571221
27016000,10.668,284.9933453,7.722938596,1.227880588,510.4267782,0.42795122,41.47115385,1.14826765,6.2034,81.9259,2661.1329671732115
